SourceID,TargetID,RelationshipType,TransactionAmount,TransactionDate,TransactionDescription,SourceName,SourceType,SourceSector,SourceOrganization
1079,924,Bribery,4499,6/2/2019,Fraud in Government sector,Person 1079,Manager,Government,Organization 209
2136,2952,Nepotism,,8/28/2015,Fraud in Finance sector,Person 2136,CEO,Government,Organization 493
3044,3264,Embezzlement,,11/14/2010,Fraud in Construction sector,Person 3044,Official,Construction,Organization 241
2191,2581,Nepotism,54025,7/20/2019,Embezzlement in Government sector,Person 2191,Official,Finance,Organization 245
4063,2578,Bribery,,3/17/2017,Bribery in Government sector,Person 4063,CEO,Government,Organization 30
538,4346,Bribery,,11/23/2017,Bribery in Finance sector,Person 538,Manager,Government,Organization 782
1784,2343,Nepotism,,3/17/2020,Bribery in Government sector,Person 1784,CEO,Construction,Organization 958
409,1734,Fraud,88142,12/7/2020,Embezzlement in Government sector,Person 409,Clerk,Healthcare,Organization 221
859,3362,Fraud,,2/9/2014,Fraud in Construction sector,Person 859,CEO,Healthcare,Organization 960
2211,2422,Embezzlement,,7/15/2010,Fraud in Finance sector,Person 2211,Clerk,Construction,Organization 580
2809,3864,Fraud,89931,8/5/2012,Fraud in Healthcare sector,Person 2809,CEO,Government,Organization 379
3581,3217,Bribery,,3/7/2019,Nepotism in Construction sector,Person 3581,Clerk,Healthcare,Organization 99
1205,4308,Nepotism,74529,5/27/2014,Bribery in Construction sector,Person 1205,Clerk,Healthcare,Organization 786
824,1313,Nepotism,,1/13/2020,Nepotism in Government sector,Person 824,Manager,Construction,Organization 237
4121,1408,Bribery,,5/20/2019,Bribery in Government sector,Person 4121,CEO,Healthcare,Organization 625
4795,3966,Fraud,99915,6/15/2012,Bribery in Healthcare sector,Person 4795,CEO,Government,Organization 207
1355,4590,Embezzlement,29500,9/7/2017,Embezzlement in Construction sector,Person 1355,Official,Finance,Organization 640
4129,1312,Embezzlement,,7/24/2013,Fraud in Government sector,Person 4129,CEO,Finance,Organization 133
4158,2367,Embezzlement,,9/8/2010,Fraud in Government sector,Person 4158,Official,Finance,Organization 842
2400,2256,Fraud,63565,2/4/2020,Nepotism in Government sector,Person 2400,Manager,Finance,Organization 865
209,3770,Nepotism,,2/12/2016,Bribery in Construction sector,Person 209,CEO,Healthcare,Organization 834
299,3199,Bribery,42615,8/2/2010,Nepotism in Construction sector,Person 299,Manager,Finance,Organization 428
1075,3704,Fraud,,12/3/2015,Embezzlement in Healthcare sector,Person 1075,Clerk,Healthcare,Organization 169
1449,4502,Nepotism,,9/15/2011,Embezzlement in Government sector,Person 1449,Official,Government,Organization 267
2236,4006,Fraud,,2/23/2018,Embezzlement in Healthcare sector,Person 2236,Manager,Government,Organization 223
3797,1236,Nepotism,25973,6/25/2018,Bribery in Construction sector,Person 3797,Official,Construction,Organization 557
920,4324,Embezzlement,41789,2/24/2011,Bribery in Construction sector,Person 920,Official,Government,Organization 232
1372,286,Bribery,,8/12/2013,Bribery in Government sector,Person 1372,Manager,Government,Organization 451
2031,2816,Embezzlement,,7/16/2018,Fraud in Finance sector,Person 2031,Official,Finance,Organization 216
1730,419,Embezzlement,,12/27/2018,Nepotism in Healthcare sector,Person 1730,Clerk,Finance,Organization 729
2514,627,Embezzlement,,10/18/2015,Embezzlement in Government sector,Person 2514,CEO,Construction,Organization 963
4337,3223,Embezzlement,62364,8/6/2018,Nepotism in Construction sector,Person 4337,Official,Finance,Organization 29
2107,2234,Embezzlement,,11/3/2018,Nepotism in Finance sector,Person 2107,Clerk,Finance,Organization 311
3189,3591,Bribery,,11/11/2010,Embezzlement in Healthcare sector,Person 3189,Official,Healthcare,Organization 260
4831,1827,Nepotism,43766,2/23/2016,Bribery in Construction sector,Person 4831,Official,Finance,Organization 451
4743,3701,Nepotism,10942,4/18/2014,Embezzlement in Construction sector,Person 4743,Manager,Construction,Organization 466
2467,714,Fraud,,11/1/2016,Bribery in Finance sector,Person 2467,CEO,Healthcare,Organization 357
2463,2434,Bribery,83090,8/1/2012,Nepotism in Government sector,Person 2463,Manager,Construction,Organization 465
3133,984,Bribery,,7/15/2018,Embezzlement in Government sector,Person 3133,Official,Government,Organization 499
4235,4395,Bribery,58726,3/14/2013,Bribery in Construction sector,Person 4235,Manager,Construction,Organization 996
3588,2138,Embezzlement,,1/24/2011,Bribery in Construction sector,Person 3588,Clerk,Healthcare,Organization 712
1364,4779,Bribery,83407,2/24/2016,Embezzlement in Finance sector,Person 1364,CEO,Construction,Organization 351
2331,2128,Bribery,78905,12/2/2010,Fraud in Healthcare sector,Person 2331,Clerk,Government,Organization 480
4123,4402,Nepotism,,8/4/2014,Fraud in Finance sector,Person 4123,Clerk,Healthcare,Organization 93
3866,4457,Nepotism,,7/7/2013,Nepotism in Finance sector,Person 3866,Official,Healthcare,Organization 37
1541,2063,Fraud,92803,2/2/2014,Nepotism in Healthcare sector,Person 1541,CEO,Healthcare,Organization 287
479,3609,Embezzlement,75134,9/14/2011,Embezzlement in Finance sector,Person 479,Manager,Government,Organization 855
395,2119,Fraud,71084,7/13/2017,Bribery in Healthcare sector,Person 395,Clerk,Government,Organization 853
4849,4149,Bribery,,3/19/2011,Bribery in Finance sector,Person 4849,Clerk,Government,Organization 122
2370,1588,Fraud,82668,12/15/2017,Bribery in Finance sector,Person 2370,Official,Finance,Organization 396
4414,3296,Nepotism,,10/16/2015,Fraud in Government sector,Person 4414,Official,Healthcare,Organization 634
2508,4070,Embezzlement,47444,6/14/2019,Nepotism in Healthcare sector,Person 2508,Official,Finance,Organization 93
2319,817,Fraud,,9/10/2016,Embezzlement in Government sector,Person 2319,Manager,Healthcare,Organization 626
1360,2434,Bribery,,10/22/2018,Bribery in Government sector,Person 1360,Clerk,Government,Organization 555
4320,3079,Embezzlement,,3/13/2012,Embezzlement in Construction sector,Person 4320,CEO,Government,Organization 978
1859,3453,Fraud,,5/27/2020,Bribery in Construction sector,Person 1859,Manager,Finance,Organization 528
1759,2865,Bribery,,5/4/2017,Nepotism in Healthcare sector,Person 1759,CEO,Government,Organization 939
2344,2557,Bribery,79516,2/26/2010,Fraud in Healthcare sector,Person 2344,Official,Healthcare,Organization 775
85,3158,Bribery,,11/15/2020,Embezzlement in Finance sector,Person 85,Clerk,Construction,Organization 374
917,3956,Bribery,,12/23/2011,Embezzlement in Government sector,Person 917,Clerk,Healthcare,Organization 112
3461,3677,Nepotism,,1/4/2017,Nepotism in Finance sector,Person 3461,Manager,Construction,Organization 412
1764,3019,Embezzlement,26344,6/13/2014,Nepotism in Government sector,Person 1764,Manager,Construction,Organization 381
4725,1680,Nepotism,33917,10/17/2017,Bribery in Government sector,Person 4725,CEO,Government,Organization 2
2370,3377,Nepotism,,9/25/2018,Embezzlement in Finance sector,Person 2370,Official,Finance,Organization 396
3643,878,Bribery,,1/18/2015,Embezzlement in Government sector,Person 3643,Clerk,Healthcare,Organization 955
4837,4287,Embezzlement,7860,5/12/2016,Nepotism in Construction sector,Person 4837,CEO,Government,Organization 155
4852,709,Nepotism,27933,10/13/2020,Embezzlement in Finance sector,Person 4852,CEO,Construction,Organization 284
1395,3800,Embezzlement,73327,5/8/2018,Fraud in Government sector,Person 1395,Official,Construction,Organization 379
4965,190,Fraud,88431,11/6/2016,Bribery in Finance sector,Person 4965,CEO,Construction,Organization 943
2658,3736,Embezzlement,,4/3/2015,Fraud in Government sector,Person 2658,CEO,Healthcare,Organization 564
4980,4389,Embezzlement,55156,5/11/2019,Bribery in Healthcare sector,Person 4980,Official,Construction,Organization 339
4514,1041,Embezzlement,39729,1/10/2015,Bribery in Healthcare sector,Person 4514,Official,Government,Organization 984
2113,4548,Fraud,42040,7/18/2014,Nepotism in Healthcare sector,Person 2113,Manager,Government,Organization 881
4376,3992,Embezzlement,29976,2/3/2016,Fraud in Construction sector,Person 4376,Manager,Government,Organization 937
4164,521,Bribery,,9/11/2010,Fraud in Government sector,Person 4164,CEO,Finance,Organization 527
1597,503,Nepotism,,12/9/2012,Bribery in Construction sector,Person 1597,Manager,Finance,Organization 227
2244,4872,Nepotism,,6/11/2014,Embezzlement in Government sector,Person 2244,Clerk,Construction,Organization 304
5000,3774,Embezzlement,,9/20/2015,Nepotism in Healthcare sector,Person 5000,CEO,Healthcare,Organization 286
2741,2839,Nepotism,,2/8/2016,Bribery in Government sector,Person 2741,Manager,Construction,Organization 748
1714,2590,Embezzlement,30810,7/26/2011,Bribery in Government sector,Person 1714,Manager,Construction,Organization 13
1986,137,Fraud,,5/4/2020,Nepotism in Construction sector,Person 1986,CEO,Government,Organization 103
2839,227,Nepotism,50240,2/5/2011,Fraud in Finance sector,Person 2839,Manager,Government,Organization 997
1006,2012,Bribery,59078,1/26/2018,Nepotism in Healthcare sector,Person 1006,CEO,Finance,Organization 64
2660,2133,Nepotism,58103,11/10/2010,Embezzlement in Finance sector,Person 2660,Official,Construction,Organization 648
3948,494,Embezzlement,,2/21/2010,Nepotism in Government sector,Person 3948,CEO,Healthcare,Organization 33
4199,4923,Nepotism,,2/18/2012,Nepotism in Finance sector,Person 4199,CEO,Finance,Organization 56
942,603,Fraud,70690,5/1/2013,Fraud in Finance sector,Person 942,Manager,Finance,Organization 312
1556,1649,Fraud,85166,12/20/2019,Fraud in Government sector,Person 1556,Manager,Healthcare,Organization 907
2030,1904,Fraud,,5/13/2019,Embezzlement in Finance sector,Person 2030,CEO,Construction,Organization 841
1602,87,Fraud,8940,5/19/2015,Bribery in Construction sector,Person 1602,CEO,Government,Organization 636
1621,1520,Bribery,91555,10/26/2015,Bribery in Government sector,Person 1621,Clerk,Construction,Organization 122
4078,4365,Fraud,,4/16/2019,Fraud in Construction sector,Person 4078,Official,Healthcare,Organization 968
3111,3718,Embezzlement,,11/12/2014,Nepotism in Finance sector,Person 3111,CEO,Finance,Organization 482
2125,2796,Fraud,47355,7/2/2018,Fraud in Government sector,Person 2125,CEO,Healthcare,Organization 679
1598,2554,Fraud,,7/25/2020,Fraud in Finance sector,Person 1598,Official,Finance,Organization 649
1699,279,Embezzlement,94336,1/24/2015,Bribery in Healthcare sector,Person 1699,Manager,Healthcare,Organization 398
4459,437,Embezzlement,40995,10/8/2013,Nepotism in Finance sector,Person 4459,Manager,Government,Organization 175
967,3070,Bribery,42819,6/17/2013,Embezzlement in Finance sector,Person 967,Manager,Healthcare,Organization 284
1999,3752,Fraud,53765,6/25/2017,Fraud in Healthcare sector,Person 1999,Official,Healthcare,Organization 545
923,3918,Bribery,3084,5/27/2013,Nepotism in Government sector,Person 923,CEO,Government,Organization 429
797,261,Bribery,26863,7/4/2012,Nepotism in Finance sector,Person 797,Official,Healthcare,Organization 99
1106,465,Fraud,,12/14/2013,Fraud in Healthcare sector,Person 1106,Official,Government,Organization 270
1590,3142,Bribery,21133,2/5/2014,Bribery in Construction sector,Person 1590,Clerk,Finance,Organization 739
3162,3069,Embezzlement,,10/14/2020,Embezzlement in Construction sector,Person 3162,Manager,Healthcare,Organization 785
2607,3918,Fraud,48541,11/7/2011,Embezzlement in Finance sector,Person 2607,Manager,Healthcare,Organization 459
2789,2636,Bribery,,1/12/2014,Nepotism in Finance sector,Person 2789,Official,Healthcare,Organization 181
2675,2630,Nepotism,,2/16/2012,Nepotism in Finance sector,Person 2675,Official,Construction,Organization 88
568,89,Bribery,1497,2/1/2012,Bribery in Healthcare sector,Person 568,Official,Government,Organization 700
714,3159,Fraud,,12/22/2013,Nepotism in Government sector,Person 714,Manager,Finance,Organization 374
1266,670,Nepotism,,4/27/2018,Embezzlement in Healthcare sector,Person 1266,CEO,Construction,Organization 232
869,2045,Nepotism,,10/3/2016,Bribery in Government sector,Person 869,Clerk,Healthcare,Organization 691
1004,3784,Bribery,,9/7/2017,Nepotism in Healthcare sector,Person 1004,Official,Government,Organization 646
3938,2094,Bribery,5182,7/8/2011,Bribery in Government sector,Person 3938,Official,Finance,Organization 825
818,4913,Bribery,10061,10/20/2016,Bribery in Government sector,Person 818,CEO,Government,Organization 680
2189,4729,Fraud,28146,8/8/2010,Embezzlement in Finance sector,Person 2189,Manager,Government,Organization 547
782,2780,Nepotism,,10/3/2012,Fraud in Government sector,Person 782,Clerk,Government,Organization 209
2232,159,Fraud,60424,8/14/2018,Nepotism in Finance sector,Person 2232,CEO,Healthcare,Organization 697
4844,4256,Bribery,,2/13/2013,Bribery in Healthcare sector,Person 4844,Manager,Healthcare,Organization 442
4131,4655,Nepotism,19419,3/10/2011,Nepotism in Government sector,Person 4131,Manager,Government,Organization 419
77,3711,Embezzlement,70928,5/15/2014,Bribery in Government sector,Person 77,Manager,Healthcare,Organization 76
520,2373,Embezzlement,58176,6/11/2015,Nepotism in Healthcare sector,Person 520,CEO,Healthcare,Organization 514
1316,4656,Bribery,34108,3/3/2016,Fraud in Government sector,Person 1316,Clerk,Finance,Organization 77
1207,2594,Embezzlement,,5/9/2014,Nepotism in Finance sector,Person 1207,Clerk,Healthcare,Organization 361
4698,721,Bribery,42964,2/19/2020,Embezzlement in Construction sector,Person 4698,Clerk,Healthcare,Organization 915
916,4243,Nepotism,,1/15/2017,Fraud in Government sector,Person 916,CEO,Healthcare,Organization 462
894,947,Embezzlement,,9/22/2018,Embezzlement in Healthcare sector,Person 894,Official,Finance,Organization 958
754,3927,Fraud,81189,2/15/2020,Embezzlement in Construction sector,Person 754,CEO,Healthcare,Organization 941
3972,3039,Nepotism,24829,11/24/2015,Nepotism in Healthcare sector,Person 3972,Official,Construction,Organization 975
2908,2789,Embezzlement,6015,6/27/2015,Bribery in Healthcare sector,Person 2908,Manager,Finance,Organization 882
2564,3263,Nepotism,,9/19/2016,Fraud in Finance sector,Person 2564,Official,Construction,Organization 20
3109,3731,Bribery,,2/14/2011,Nepotism in Healthcare sector,Person 3109,CEO,Finance,Organization 813
1132,2243,Bribery,,2/8/2012,Fraud in Construction sector,Person 1132,CEO,Healthcare,Organization 675
793,797,Embezzlement,14949,8/7/2016,Embezzlement in Construction sector,Person 793,CEO,Healthcare,Organization 744
2930,4903,Nepotism,87051,7/20/2018,Nepotism in Construction sector,Person 2930,Official,Construction,Organization 344
2371,2114,Bribery,,2/14/2012,Nepotism in Finance sector,Person 2371,CEO,Finance,Organization 51
2211,3877,Fraud,31850,9/22/2013,Embezzlement in Construction sector,Person 2211,Clerk,Construction,Organization 580
3883,3923,Nepotism,58789,5/15/2019,Fraud in Finance sector,Person 3883,Official,Construction,Organization 419
4021,3598,Fraud,,9/9/2011,Nepotism in Healthcare sector,Person 4021,Manager,Finance,Organization 596
421,4115,Bribery,30048,6/1/2016,Bribery in Healthcare sector,Person 421,Clerk,Healthcare,Organization 641
66,2882,Nepotism,,12/9/2013,Bribery in Government sector,Person 66,CEO,Government,Organization 705
2084,3897,Embezzlement,21070,8/8/2015,Embezzlement in Government sector,Person 2084,CEO,Construction,Organization 303
1752,3196,Fraud,,7/11/2011,Bribery in Construction sector,Person 1752,Official,Finance,Organization 603
1050,1092,Bribery,,3/13/2019,Embezzlement in Government sector,Person 1050,Clerk,Healthcare,Organization 315
1753,4198,Fraud,,10/24/2013,Bribery in Finance sector,Person 1753,Official,Construction,Organization 469
3219,4636,Embezzlement,,10/9/2013,Fraud in Construction sector,Person 3219,Manager,Finance,Organization 467
1212,185,Bribery,55965,6/5/2014,Nepotism in Government sector,Person 1212,Manager,Healthcare,Organization 409
469,4136,Embezzlement,58442,5/6/2016,Fraud in Government sector,Person 469,Official,Construction,Organization 342
167,2978,Nepotism,5204,3/18/2010,Nepotism in Construction sector,Person 167,Official,Finance,Organization 98
2576,1270,Bribery,,4/9/2018,Nepotism in Finance sector,Person 2576,Clerk,Construction,Organization 825
3481,1841,Embezzlement,4937,9/11/2014,Bribery in Government sector,Person 3481,Manager,Government,Organization 587
1004,1883,Embezzlement,,8/13/2014,Fraud in Government sector,Person 1004,Official,Government,Organization 646
3344,3620,Fraud,14341,6/9/2020,Nepotism in Construction sector,Person 3344,Clerk,Government,Organization 483
469,4594,Fraud,1630,6/4/2018,Fraud in Finance sector,Person 469,Official,Construction,Organization 342
2623,12,Fraud,,7/28/2012,Fraud in Healthcare sector,Person 2623,CEO,Construction,Organization 117
408,3909,Bribery,,3/9/2013,Nepotism in Finance sector,Person 408,Clerk,Government,Organization 948
1869,1429,Embezzlement,,3/16/2020,Nepotism in Government sector,Person 1869,Manager,Construction,Organization 88
808,4427,Bribery,,1/3/2016,Bribery in Healthcare sector,Person 808,Clerk,Healthcare,Organization 363
686,2913,Bribery,54997,6/17/2018,Nepotism in Finance sector,Person 686,Manager,Healthcare,Organization 69
2168,3574,Bribery,35595,5/21/2015,Bribery in Government sector,Person 2168,CEO,Construction,Organization 229
2796,1717,Nepotism,78749,8/26/2014,Nepotism in Healthcare sector,Person 2796,CEO,Construction,Organization 203
1892,4062,Bribery,,9/19/2020,Fraud in Construction sector,Person 1892,CEO,Finance,Organization 609
4247,2759,Nepotism,,3/27/2011,Fraud in Finance sector,Person 4247,CEO,Finance,Organization 752
487,2959,Nepotism,,5/24/2013,Embezzlement in Finance sector,Person 487,Clerk,Construction,Organization 262
3550,2025,Fraud,5882,5/24/2020,Embezzlement in Government sector,Person 3550,Official,Government,Organization 229
3260,4085,Bribery,,12/13/2015,Embezzlement in Healthcare sector,Person 3260,CEO,Healthcare,Organization 740
578,819,Embezzlement,,9/26/2020,Embezzlement in Construction sector,Person 578,Clerk,Healthcare,Organization 963
3590,435,Bribery,,4/23/2014,Nepotism in Construction sector,Person 3590,Clerk,Healthcare,Organization 294
2708,4344,Nepotism,28746,1/4/2020,Nepotism in Government sector,Person 2708,CEO,Healthcare,Organization 910
2323,4380,Nepotism,,3/21/2018,Fraud in Construction sector,Person 2323,CEO,Healthcare,Organization 354
1538,256,Fraud,,2/15/2011,Embezzlement in Construction sector,Person 1538,Official,Government,Organization 578
3805,564,Bribery,,11/22/2019,Nepotism in Construction sector,Person 3805,Manager,Healthcare,Organization 371
1972,544,Bribery,51435,2/10/2019,Embezzlement in Healthcare sector,Person 1972,Clerk,Finance,Organization 463
4658,4233,Bribery,27112,12/20/2018,Embezzlement in Government sector,Person 4658,Clerk,Healthcare,Organization 31
1210,2388,Fraud,,12/14/2013,Nepotism in Healthcare sector,Person 1210,CEO,Government,Organization 29
1584,2324,Fraud,52768,3/25/2010,Embezzlement in Government sector,Person 1584,Clerk,Healthcare,Organization 320
935,250,Embezzlement,,3/5/2016,Nepotism in Government sector,Person 935,Official,Construction,Organization 460
4178,1133,Nepotism,,10/23/2020,Nepotism in Finance sector,Person 4178,Manager,Government,Organization 754
4389,2333,Nepotism,5529,6/6/2013,Embezzlement in Construction sector,Person 4389,Official,Finance,Organization 43
945,27,Fraud,,2/26/2014,Embezzlement in Government sector,Person 945,Official,Finance,Organization 478
1444,702,Fraud,12679,2/4/2012,Nepotism in Construction sector,Person 1444,Clerk,Construction,Organization 323
914,3814,Nepotism,6270,1/12/2012,Fraud in Government sector,Person 914,CEO,Construction,Organization 357
2654,4877,Bribery,,6/17/2016,Embezzlement in Finance sector,Person 2654,Official,Finance,Organization 903
850,47,Nepotism,88540,11/10/2015,Nepotism in Government sector,Person 850,Official,Finance,Organization 590
4576,3650,Bribery,,3/18/2020,Nepotism in Healthcare sector,Person 4576,Manager,Government,Organization 337
1871,2700,Bribery,40527,2/18/2014,Fraud in Construction sector,Person 1871,Manager,Healthcare,Organization 778
898,2161,Fraud,,6/21/2017,Fraud in Finance sector,Person 898,Clerk,Government,Organization 925
3696,880,Embezzlement,,11/26/2013,Embezzlement in Construction sector,Person 3696,CEO,Healthcare,Organization 512
4068,99,Embezzlement,53178,5/19/2015,Embezzlement in Healthcare sector,Person 4068,Manager,Healthcare,Organization 637
1202,4683,Embezzlement,94673,5/21/2020,Nepotism in Government sector,Person 1202,Official,Finance,Organization 705
4897,3491,Fraud,43217,12/16/2017,Bribery in Finance sector,Person 4897,CEO,Government,Organization 537
347,3659,Embezzlement,91093,2/20/2015,Embezzlement in Government sector,Person 347,CEO,Finance,Organization 990
4204,1288,Embezzlement,46881,9/16/2017,Embezzlement in Construction sector,Person 4204,Official,Finance,Organization 53
1802,1429,Embezzlement,32207,6/20/2013,Nepotism in Finance sector,Person 1802,CEO,Finance,Organization 268
4509,3627,Nepotism,14897,4/9/2012,Nepotism in Government sector,Person 4509,CEO,Healthcare,Organization 973
3478,3011,Fraud,,8/16/2010,Nepotism in Construction sector,Person 3478,CEO,Construction,Organization 758
271,1070,Embezzlement,,6/22/2017,Fraud in Construction sector,Person 271,Manager,Healthcare,Organization 702
159,3037,Embezzlement,,6/15/2012,Bribery in Healthcare sector,Person 159,CEO,Government,Organization 195
1834,3774,Fraud,,2/14/2012,Embezzlement in Construction sector,Person 1834,Official,Construction,Organization 560
152,3746,Fraud,,9/11/2020,Bribery in Finance sector,Person 152,Manager,Construction,Organization 653
1099,2396,Bribery,,7/16/2015,Fraud in Construction sector,Person 1099,CEO,Finance,Organization 631
3286,3150,Nepotism,94938,5/28/2012,Embezzlement in Construction sector,Person 3286,Manager,Healthcare,Organization 481
789,1597,Bribery,,12/24/2019,Fraud in Healthcare sector,Person 789,Manager,Construction,Organization 727
3092,3769,Fraud,,6/22/2015,Fraud in Healthcare sector,Person 3092,Clerk,Healthcare,Organization 593
3454,2567,Embezzlement,85584,8/17/2014,Bribery in Finance sector,Person 3454,Manager,Construction,Organization 859
354,3886,Nepotism,64308,11/7/2012,Fraud in Healthcare sector,Person 354,Official,Finance,Organization 162
1744,2664,Bribery,,5/23/2017,Fraud in Construction sector,Person 1744,Manager,Healthcare,Organization 710
2391,4434,Fraud,,12/24/2015,Bribery in Construction sector,Person 2391,CEO,Government,Organization 78
1232,3667,Fraud,,9/2/2014,Embezzlement in Finance sector,Person 1232,Manager,Construction,Organization 458
472,1359,Fraud,,8/17/2018,Fraud in Government sector,Person 472,Official,Healthcare,Organization 425
4170,4952,Embezzlement,91922,11/6/2010,Fraud in Healthcare sector,Person 4170,Clerk,Construction,Organization 142
4021,3534,Nepotism,,5/20/2018,Fraud in Finance sector,Person 4021,Manager,Finance,Organization 596
805,3924,Fraud,50407,4/12/2019,Fraud in Healthcare sector,Person 805,Manager,Healthcare,Organization 227
4038,3915,Embezzlement,58097,10/10/2018,Nepotism in Finance sector,Person 4038,Clerk,Construction,Organization 3
78,34,Embezzlement,8581,1/18/2016,Bribery in Healthcare sector,Person 78,Clerk,Government,Organization 671
3865,1063,Bribery,12201,6/4/2014,Nepotism in Government sector,Person 3865,Manager,Construction,Organization 304
4013,2766,Fraud,63754,4/6/2016,Embezzlement in Construction sector,Person 4013,Clerk,Finance,Organization 687
3045,3347,Nepotism,,2/18/2015,Nepotism in Finance sector,Person 3045,Manager,Healthcare,Organization 607
67,1972,Bribery,,8/24/2018,Embezzlement in Finance sector,Person 67,Manager,Finance,Organization 95
1233,147,Nepotism,87877,10/17/2014,Embezzlement in Healthcare sector,Person 1233,Manager,Government,Organization 808
368,364,Fraud,66856,12/10/2015,Nepotism in Healthcare sector,Person 368,CEO,Government,Organization 95
428,313,Fraud,,7/16/2014,Embezzlement in Finance sector,Person 428,Manager,Construction,Organization 302
805,331,Fraud,,11/16/2020,Fraud in Healthcare sector,Person 805,Manager,Healthcare,Organization 227
1438,567,Nepotism,,5/24/2019,Embezzlement in Healthcare sector,Person 1438,Manager,Healthcare,Organization 998
3719,339,Nepotism,,6/21/2020,Bribery in Healthcare sector,Person 3719,Official,Finance,Organization 896
3539,216,Nepotism,,3/13/2015,Fraud in Healthcare sector,Person 3539,Manager,Government,Organization 903
1921,764,Nepotism,,7/8/2018,Fraud in Healthcare sector,Person 1921,Manager,Healthcare,Organization 270
332,1824,Fraud,61222,10/1/2015,Nepotism in Government sector,Person 332,CEO,Finance,Organization 676
115,4117,Embezzlement,,9/7/2011,Fraud in Construction sector,Person 115,Official,Government,Organization 107
30,932,Bribery,,8/3/2014,Bribery in Healthcare sector,Person 30,Official,Finance,Organization 926
2257,1464,Embezzlement,2624,10/27/2012,Nepotism in Government sector,Person 2257,Official,Finance,Organization 534
1839,256,Bribery,,5/9/2013,Embezzlement in Government sector,Person 1839,Clerk,Healthcare,Organization 804
4365,1340,Bribery,,9/22/2013,Embezzlement in Construction sector,Person 4365,Manager,Construction,Organization 887
731,2402,Embezzlement,86179,5/7/2011,Fraud in Government sector,Person 731,Official,Government,Organization 667
